,id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,state,zip_code,school_type,school_level
1755,181173001875,0.0870748299319728,0.513099041533546,0.780523255813954,41000.0,20.1184371184371,0.42,IN,47358,Regular School,High
1425,174218004222,0.0841288782816229,0.854981742305686,0.733639494833525,57813.0,22.9,0.160539785946952,IL,60189,Regular School,High
3747,341332004702,0.0682505399568035,0.654661864745898,0.764705882352941,73531.0,22.2527472527473,0.102493074792244,NJ,8742,Regular School,High
3245,291383000625,0.0627580511973576,0.668879668049792,0.46969696969697,34381.0,18.1,0.444444444444444,MO,63042,Regular School,High
4767,390441401069,0.0708812260536398,0.478367346938776,0.478947368421053,34273.0,19.0,0.424242424242424,OH,45638,Regular School,High
5707,421881006231,0.04067617538299,0.45225527831094,0.827501534683855,49360.0,23.2539682539683,0.240793201133144,PA,16875,Regular School,High
4437,370256001080,0.209055338177753,0.253295668549906,0.443438914027149,26434.0,20.2503052503052,0.469529085872576,NC,27330,Regular School,High
2003,220002201922,0.0705939629990263,0.936708860759494,1.0,22083.0,24.9,0.0143061516452074,LA,70803,Regular School,Other
7298,530366000564,0.276747503566334,0.543689320388349,0.532945736434108,31454.0,20.8119658119658,0.505112474437628,WA,98550,Regular School,High
5251,390502203880,0.0985352862849534,0.553203997648442,0.576576576576577,47942.0,21.0,0.0,OH,44437,Regular School,High
2857,261995005663,0.134347826086957,0.678151260504202,0.733716475095785,54143.0,19.1,0.566990291262136,MI,49001,Regular School,High
6406,481242000734,0.0622837370242214,0.572186836518047,0.708609271523179,66886.0,20.7142857142857,0.255354200988468,TX,78410,Regular School,High
1365,173690003804,0.120858609426038,0.480486781368023,0.526143790849673,39430.0,18.0,0.449720670391061,IL,62286,Regular School,High
1730,181074001763,0.061614730878187,0.493452380952381,0.870879120879121,49740.0,20.8388278388278,0.330739299610895,IN,47355,Regular School,High
2845,261910005589,0.104116222760291,0.427375971309026,0.658777120315582,36694.0,19.6,0.321259842519685,MI,48444,Regular School,High
2623,260279003997,0.0449381469325928,0.698449976514796,0.897027143472641,89473.0,19.9,0.165950590762621,MI,48023,Regular School,High
370,120153001586,0.102197418904779,0.636028281586228,0.847769028871391,71298.0,22.4236874236874,0.226347305389222,FL,34638,Regular School,High
624,130186001976,0.159819227608874,0.503827925628873,0.627065302911094,52673.0,19.3711843711844,0.325092707045735,GA,30135,Regular School,High
464,120201203140,0.433816425120773,1.0,0.3346148013833227,66435.4581487193,26.3064713064713,0.248144220572641,FL,33431,Regular School,Other
